"Date","covid19_cases_unvac","covid19_cases_partial_vac","covid19_cases_notfull_vac","covid19_cases_full_vac","covid19_cases_boost_vac","covid19_cases_vac_unknown","cases_unvac_rate_per100K","cases_partial_vac_rate_per100K","cases_notfull_vac_rate_per100K","cases_full_vac_rate_per100K","cases_boost_vac_rate_per100K","cases_unvac_rate_7ma","cases_partial_vac_rate_7ma","cases_notfull_vac_rate_7ma","cases_full_vac_rate_7ma","cases_boost_vac_rate_7ma"
2021-08-09,286,53,,82,,,,,,,,,,,,
2021-08-10,229,25,,63,,,,,,,,,,,,
2021-08-11,234,32,,58,,,,,,,,,,,,
2021-08-12,360,56,,88,,,,,,,,,,,,
2021-08-13,368,57,,85,,,,,,,,,,,,
2021-08-14,408,59,,111,,,,,,,,,,,,
2021-08-15,350,67,,94,,,,,,,,,,,,
2021-08-16,353,60,,113,,,,,,,,,,,,
2021-08-17,203,49,,79,,17,,,,,,,,,,
2021-08-18,309,41,,98,,37,7.34,4.05,,1.02,,,,,,
2021-08-19,382,46,,75,,28,9.11,4.60,,0.78,,,,,,
2021-08-20,426,64,,103,,57,10.20,6.49,,1.06,,,,,,
2021-08-21,427,63,,137,,62,10.26,6.50,,1.41,,,,,,
2021-08-22,411,65,,124,,44,10.69,7.94,,1.62,,,,,,
2021-08-23,444,76,,158,,39,9.91,6.85,,1.27,,,,,,
2021-08-24,279,41,,114,,52,6.75,4.37,,1.16,,9.18,5.83,,1.19,
2021-08-25,398,74,,135,,53,9.67,7.98,,1.37,,9.51,6.39,,1.24,
2021-08-26,395,82,,141,,60,9.63,8.95,,1.43,,9.59,7.01,,1.33,
2021-08-27,485,83,,147,,66,11.86,9.16,,1.49,,9.82,7.39,,1.39,
2021-08-28,500,100,,160,,75,12.26,11.18,,1.62,,10.11,8.06,,1.42,
2021-08-29,425,64,,189,,62,10.45,7.23,,1.91,,10.08,7.96,,1.46,
2021-08-30,403,73,,167,,51,9.92,8.30,,1.68,,10.08,8.17,,1.52,
2021-08-31,326,43,,91,,65,8.05,4.93,,0.92,,10.26,8.25,,1.49,
2021-09-01,397,52,,152,,55,9.84,6.02,,1.53,,10.29,7.97,,1.51,
2021-09-02,540,88,,173,,64,13.43,10.23,,1.73,,10.83,8.15,,1.55,
2021-09-03,499,68,,179,,60,12.48,7.92,,1.79,,10.92,7.97,,1.60,
2021-09-04,559,92,,208,,85,14.05,10.75,,2.07,,11.17,7.91,,1.66,
2021-09-05,482,98,,168,,63,12.16,11.50,,1.67,,11.42,8.52,,1.63,
2021-09-06,351,64,,124,,42,8.88,7.53,,1.23,,11.27,8.41,,1.56,
2021-09-07,339,37,,130,,58,8.59,4.36,,1.29,,11.35,8.33,,1.62,
2021-09-08,319,56,,136,,44,8.12,6.62,,1.35,,11.10,8.42,,1.59,
2021-09-09,497,57,,178,,66,12.71,6.76,,1.76,,11.00,7.92,,1.59,
2021-09-10,534,76,,189,,49,13.71,9.05,,1.87,,11.17,8.08,,1.61,
2021-09-11,499,80,,211,,67,12.87,9.60,,2.08,,11.01,7.92,,1.61,
2021-09-12,475,66,,182,,61,12.28,7.98,,1.79,,11.02,7.41,,1.62,
2021-09-13,388,44,,125,,43,9.58,5.02,,1.26,,11.12,7.06,,1.63,
2021-09-14,349,54,,125,,49,8.64,6.21,,1.26,,11.13,7.32,,1.62,
2021-09-15,348,44,,146,,55,8.65,5.11,,1.46,,11.21,7.10,,1.64,
2021-09-16,533,56,,209,,66,13.30,6.54,,2.09,,11.29,7.07,,1.69,
2021-09-17,460,53,,213,,69,11.54,6.19,,2.12,,10.98,6.66,,1.72,
2021-09-18,489,61,,200,,71,12.34,7.16,,1.99,,10.90,6.32,,1.71,
2021-09-19,440,44,,175,,56,11.14,5.19,,1.74,,10.74,5.92,,1.70,
2021-09-20,362,43,,152,,53,9.19,5.09,,1.51,,10.69,5.93,,1.74,
2021-09-21,351,33,,140,,50,8.93,3.91,,1.39,,10.73,5.60,,1.76,
2021-09-22,278,21,,131,,33,7.10,2.50,,1.30,,10.51,5.23,,1.73,
2021-09-23,433,41,,148,,55,11.12,4.89,,1.46,,10.19,4.99,,1.64,
2021-09-24,447,56,,170,,54,11.93,6.71,,1.67,,10.25,5.06,,1.58,
2021-09-25,370,46,,155,,69,9.92,5.56,,1.52,,9.90,4.84,,1.51,
2021-09-26,398,39,,154,,62,10.71,4.74,,1.51,,9.84,4.77,,1.48,
2021-09-27,350,35,,159,,69,9.43,4.27,,1.56,,9.88,4.65,,1.49,
2021-09-28,277,27,,119,,43,7.49,3.31,,1.16,,9.67,4.57,,1.45,
2021-09-29,302,36,,115,,42,8.20,4.44,,1.12,,9.83,4.85,,1.43,
2021-09-30,407,39,,151,,50,11.11,4.84,,1.47,,9.83,4.84,,1.43,
2021-10-01,394,39,,166,,69,10.79,4.87,,1.61,,9.66,4.58,,1.42,
2021-10-02,401,44,,198,,61,11.03,5.55,,1.92,,9.82,4.57,,1.48,
2021-10-03,296,38,,173,,73,8.17,4.84,,1.68,,9.46,4.59,,1.50,
2021-10-04,310,21,,139,,41,8.57,2.69,,1.34,,9.34,4.36,,1.47,
2021-10-05,233,27,,128,,41,6.46,3.48,,1.24,,9.19,4.39,,1.48,
2021-10-06,294,13,,141,,28,8.20,1.69,,1.36,,9.19,3.99,,1.52,
2021-10-07,349,27,,164,,47,9.78,3.56,,1.58,,9.00,3.81,,1.53,
2021-10-08,300,33,,192,,48,8.45,4.41,,1.84,,8.67,3.75,,1.57,
2021-10-09,385,30,,190,,49,10.90,4.09,,1.82,,8.65,3.54,,1.55,
2021-10-10,319,29,,147,,40,9.06,4.01,,1.40,,8.77,3.42,,1.51,
2021-10-11,279,21,,125,,33,7.94,2.93,,1.19,,8.68,3.45,,1.49,
2021-10-12,215,15,,130,,30,6.14,2.11,,1.24,,8.64,3.26,,1.49,
2021-10-13,177,14,,104,,11,5.08,1.99,,0.99,,8.19,3.30,,1.44,
2021-10-14,228,16,,146,,27,6.56,2.30,,1.38,,7.73,3.12,,1.41,
2021-10-15,280,20,,162,,34,8.09,2.91,,1.53,,7.68,2.91,,1.36,
2021-10-16,282,22,,157,,25,8.17,3.26,,1.48,,7.29,2.79,,1.32,
2021-10-17,231,20,,155,,37,6.71,3.01,,1.46,,6.96,2.64,,1.32,
2021-10-18,214,17,,108,,34,6.23,2.57,,1.02,,6.71,2.59,,1.30,
2021-10-19,177,16,,105,,30,5.16,2.45,,0.99,,6.57,2.64,,1.26,
2021-10-20,198,10,,84,,12,5.80,1.55,,0.79,,6.67,2.58,,1.24,
2021-10-21,226,15,,140,,32,6.64,2.35,,1.31,,6.69,2.59,,1.23,
2021-10-22,248,21,,167,,56,7.31,3.33,,1.56,,6.57,2.65,,1.23,
2021-10-23,210,18,,109,,36,6.21,2.90,,1.02,,6.29,2.59,,1.16,
2021-10-24,190,22,,123,,35,5.64,3.58,,1.14,,6.14,2.68,,1.12,
2021-10-25,183,7,,95,,41,5.43,1.15,,0.88,,6.03,2.47,,1.10,
2021-10-26,142,11,,93,,23,4.22,1.81,,0.86,,5.89,2.38,,1.08,
2021-10-27,158,12,,118,,33,4.71,2.00,,1.09,,5.74,2.45,,1.12,
2021-10-28,220,16,,144,,29,6.58,2.70,,1.33,,5.73,2.50,,1.13,
2021-10-29,231,24,,140,,24,6.93,4.12,,1.29,,5.67,2.61,,1.09,
2021-10-30,195,13,,126,,22,5.87,2.27,,1.16,,5.63,2.52,,1.11,
2021-10-31,167,12,,117,,44,5.04,2.12,,1.08,,5.54,2.31,,1.10,
2021-11-01,225,13,,161,,23,6.79,2.32,,1.48,,5.73,2.48,,1.18,
2021-11-02,156,14,,136,,25,4.72,2.52,,1.25,,5.81,2.58,,1.24,
2021-11-03,183,12,,142,,41,5.55,2.19,,1.30,,5.93,2.61,,1.27,
2021-11-04,227,15,,159,,37,6.90,2.77,,1.46,,5.97,2.62,,1.29,
2021-11-05,259,15,,249,,40,7.90,2.81,,2.28,,6.11,2.43,,1.43,
2021-11-06,253,15,,218,,22,7.73,2.86,,1.99,,6.38,2.51,,1.55,
2021-11-07,325,15,,248,,48,9.95,2.89,,2.27,,7.08,2.62,,1.72,
2021-11-08,244,13,,191,,32,7.48,2.52,,1.74,,7.18,2.65,,1.76,
2021-11-09,225,19,,173,,24,6.91,3.73,,1.58,,7.49,2.82,,1.80,
2021-11-10,211,11,,205,,27,6.49,2.19,,1.87,,7.62,2.82,,1.88,
2021-11-11,334,18,,245,,45,10.30,3.62,,2.23,,8.11,2.95,,1.99,
2021-11-12,298,24,,222,,54,9.21,4.90,,2.02,,8.30,3.24,,1.96,
