Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 to 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 to 19,0,0,0,0.13171,0.15472,0.13543,0.07318,0.14593,0.09208,0.11891,0.09513,0.07716,0.02132,0.01333,0.00083,0
20 to 24,0,0,0,0.22956,0.65142,0.61734,0.42774,0.35472,0.42182,0.29701,0.26443,0.21505,0.17421,0.04261,0.00124,0.00345
25 to 29,0,0,0,0.13147,0.62169,1.03524,0.7023,0.65945,0.65893,0.51174,0.55146,0.39391,0.30921,0.10879,0.0016,0.00354
30 to 34,0,0,0,0.12256,0.51885,0.74075,0.91901,0.70612,0.77716,0.65609,0.64279,0.54766,0.3406,0.10032,0.0027,0.00355
35 to 39,0,0,0,0.11389,0.5715,0.72302,0.80573,0.97545,0.83146,0.72111,0.66917,0.51623,0.40242,0.04044,0.00305,0.00638
40 to 44,0,0,0,0.12819,0.43594,0.67483,0.72952,0.95876,1.02915,0.75372,0.91547,0.66675,0.4396,0.09198,0.00271,0.00211
45 to 49,0,0,0,0.10441,0.36071,0.48879,0.61532,0.68544,0.85429,0.75996,0.91227,0.54338,0.44346,0.08194,0.00233,0.00078
50 to 54,0,0,0,0.06683,0.3002,0.43795,0.40456,0.544,0.66928,0.53358,0.75545,0.54912,0.36933,0.10229,0.00155,0.00077
55 to 59,0,0,0,0.03716,0.16162,0.2371,0.2766,0.25365,0.27209,0.31815,0.42946,0.40264,0.33406,0.06459,0.00299,0
60 to 64,0,0,0,0.01716,0.10278,0.13652,0.12783,0.09057,0.13417,0.1104,0.14112,0.16069,0.11234,0.04514,0.00138,0
65 to 69,0,0,0,0.00489,0.01334,0.02215,0.02269,0.01705,0.01996,0.02239,0.01567,0.01643,0.01966,0.00474,0.00031,0.00019
70 to 74,0,0,0,9.00E-05,0.00098,0.00076,0.00031,0.00069,0.00078,0.00081,0.00086,0.00044,0.00044,0.00046,2.00E-05,0
75+,0,0,0,0,0.00028,0.00023,0.00026,0.00046,0.00098,0.00046,0.00074,0.00044,0.00079,0.00022,3.00E-05,0
